X34PCH3,William Shaw,82009 Debra Forest Apt. 631 Eagle ID. 47566,730-09-5728,65,wshaw@byui.edu,+1-912-962-5327x61227,91000,2009-12-28,101,869,09,2006,34.7890775,-94.079491,MII-7874,91
0UC1GNP,Rodney Lynch,8711 Brittany Meadow Apt. 148 Melba ID. 04895,305-93-4110,59,rlynch@byui.edu,7685374315,99000,2005-09-22,113,860,05,1998,86.3419145,-138.024844,88R P93,75
ADCIJyQ,Carol Hutchinson,6447 Richardson Corners Suite 171 Newdale ID. 43622,840-42-1432,61,chutchinson@byui.edu,+1-385-875-4699x436,121000,1985-11-17,115,908,07,1975,2.3914665,66.26352,TA-3662,76
DI22XnE,Brooke Cruz,7107 Susan Creek Apt. 425 Hayden Lake ID. 73019,236-45-8038,48,bcruz@byui.edu,001-491-713-9320x873,81000,2005-05-01,104,805,01,1989,37.3447395,91.278282,489-479,65
65nmiS8,Karen Williams,8906 Desiree View Apt. 253 Dietrich ID. 26136,663-27-5847,61,kwilliams@byui.edu,695-868-6206x8389,91000,1974-09-18,115,907,03,2011,74.951257,-142.823167,5A PC209,55
274xR3m,Katherine White,4851 Hart Expressway Genesee ID. 04411,309-84-3917,68,kwhite@byui.edu,(495)347-1080x57561,112000,1974-04-26,110,789,02,2004,21.9351395,103.297265,6-9381L,65
BHfzLPL,Rachel Smith,19710 Betty Springs Blackfoot ID. 98693,617-51-6829,54,rsmith@byui.edu,001-387-451-6585x35796,113000,2009-03-30,128,850,03,1973,82.8481895,-99.386823,864-618,58
68MW0DA,Melissa Jones,809 Reyes Parkways Apt. 934 Bonners Ferry ID. 09745,704-81-3464,46,mjones@byui.edu,(193)123-2157x78230,110000,1981-03-30,116,813,09,1996,38.0935545,-41.873192,25-G557,98
2jv12a9,Erik Davis,733 Terry Valleys West Luke Oregon. 96269,177-10-2639,67,edavis@byui.edu,(588)981-3157,114000,1984-12-17,123,841,04,1983,-44.128594,-45.393576,5Q M7689,57
oL9ED14,Craig Long,79706 Paul Greens Caldwell ID. 48025,663-26-9677,64,clong@byui.edu,776-540-2623x5851,90000,2009-10-13,124,901,03,1977,25.9841295,73.658249,ZMA-5695,56
TN6VO63,Thomas Moore,874 Rhonda Port State Line ID. 32500,113-06-4490,71,tmoore@byui.edu,001-319-596-0202x544,106000,1986-12-09,103,898,12,1995,-86.6119275,-169.835394,4-7238Y,68
wcJAyB3,Jim Johnson,1642 Samuel Skyway St. Anthony ID. 16243,403-53-2999,73,jjohnson@byui.edu,017-548-3895x7916,105000,2016-08-25,128,733,10,2005,2.048092,-149.302717,LCR-288,74
jatv7F0,Jacob Wilson,797 Robert Ports Suite 102 Greenleaf ID. 75626,645-72-1475,52,jwilson@byui.edu,+1-417-795-6194x61273,72000,1979-08-20,127,879,03,1997,81.153047,0.371113,159 OYM,80
